 0, 615.56177,-3.2527859,-5.0874727, 1.8346868,-5.9399902,0.85251747, 9815.2637  0.023666562, 1.0188213
10000, 603.93242,-3.2656863,-5.0657117, 1.8000255,-5.9012497,0.83553796, 9752.9611,0.12284813, 1.0253296
20000, 601.27886,-3.3078831,-5.0999996, 1.7921165,-5.9404001,0.84040047,  9714.139,0.18579469, 1.0294273
30000, 600.04113,-3.3123401,-5.1007675, 1.7884274,-5.9434183,0.84265084, 9823.9281  0.034871894, 1.0179228
40000, 595.31185,-3.3137171,-5.0880489, 1.7743318,-5.9289087,0.84085982, 9818.0071, 0.0795223, 1.0185366
50000, 603.24124,-3.2800359,-5.0780012, 1.7979654,-5.9327624,0.85476117, 9784.9419,0.14979111, 1.0219785
60000, 597.33271,-3.3151574,-5.0955123, 1.7803549,-5.9380783,0.84256601, 9757.8337,0.14379719, 1.0248176
70000, 601.02797,-3.2945481,-5.0859168, 1.7913687,-5.9247474,0.83883063, 9801.7924,0.06252197, 1.0202216
80000, 602.74366, -3.265599,-5.0620813, 1.7964823,-5.9008471, 0.8387658, 9781.5043,0.19998906, 1.0223376
90000, 599.86961,-3.3160666,-5.1039828, 1.7879162,-5.9256544,0.82167165, 9831.0603  0.084182437, 1.0171843
  100000,  602.6922,-3.3055649,-5.1018939,  1.796329,-5.9443269,0.84243303, 9799.7497  0.038128402, 1.0204342
  110000,  600.7671,-3.3067381,-5.0973293, 1.7905912,-5.9449686,0.84763933, 9733.1561, 0.1704014,  1.027416
  120000, 599.33094,-3.3390024,-5.1253131, 1.7863107, -5.943281,0.81796793, 9811.2968,0.12226405, 1.0192333
  130000, 607.65165,-3.3183057,-5.1294163, 1.8111106,-5.9573628,0.82794646, 9771.9663,0.12116288, 1.0233355
  140000, 602.42785,-3.2822768,-5.0778179, 1.7955411,-5.9232967,0.84547883, 9793.0504,0.13656882, 1.0211323
  150000, 606.69472,-3.3152104,-5.1234689, 1.8082585,-5.9534146,0.82994568, 9733.1173,0.15689869, 1.0274201
  160000, 597.65858,-3.3319544,-5.1132807, 1.7813262,-5.9586577,0.84537701, 9795.7552  0.059699025, 1.0208503
  170000, 593.09921,-3.3270868,-5.0948238,  1.767737, -5.931439,0.83661525, 9840.4868  0.081316385, 1.0162099
  180000, 601.19362,-3.3204211,-5.1122835, 1.7918624,-5.9585019,0.84621844,  9795.975,0.11393622, 1.0208274
  190000, 601.41425,-3.2993404,-5.0918604,1.79252,-5.9240212,0.83216078, 9830.9588  0.032025033, 1.0171948
  200000, 593.35567,-3.3381983,-5.1066997, 1.7685014,-5.9516232,0.84492359,  9732.988  0.061414483, 1.0274337
  210000,  602.6894,-3.3117427,-5.1080634, 1.7963206,-5.9624855,0.85442215,  9712.751, 0.1851818, 1.0295744
  220000, 598.44727,-3.3088997,-5.0925766, 1.7836769,-5.9241491,0.83157245, 9806.1856  0.078025109, 1.0197645
  230000, 596.25832,-3.3401955,-5.1173482, 1.7771527,-5.9487785,0.83143026, 9803.8284  0.078824482, 1.0200097
  240000, 602.78993,-3.3256876,-5.1223078, 1.7966202, -5.958382,0.83607418, 9776.6427  0.064389065,  1.022846
  250000,594.269,-3.3601514,-5.1313749, 1.7712235,-5.9586447,0.82726978, 9707.2701,0.22228401, 1.0301557
  260000,  598.2924,-3.2765018,-5.0597172, 1.7832153,-5.9079109,0.84819368, 9847.4575,0.10100063, 1.0154905
  270000, 595.01844,-3.3357524,-5.1092097, 1.7734573,-5.9502201,0.84101044, 9807.9484,0.04384624, 1.0195812
  280000, 594.05928,-3.3577708,-5.1283693, 1.7705985,-5.9521049,0.82373562, 9860.7584  0.045174989, 1.0141208
  290000, 594.48625,-3.3148752,-5.0867462, 1.7718711,-5.9278825,0.84113626, 9709.9836,0.21960255, 1.0298679
  300000, 597.27178,-3.3625322,-5.1427055, 1.7801734,-5.9663902,0.82368464, 9854.8619 0.0090580955, 1.0147276
  310000, 603.46733,-3.3370609,-5.1357002, 1.7986393,-5.9763189,0.84061874, 9669.6417,0.14666707, 1.0341645
  320000, 594.17809,-3.3498492,-5.1208018, 1.7709526, -5.973398, 0.8525962, 9768.9872  0.067464977, 1.0236476
  330000, 592.94108,-3.3932023, -5.160468, 1.7672657,-5.9576189,0.79715086,  9803.477,0.12706702, 1.0200463
  340000,  598.7708,-3.3549775,-5.1396187, 1.7846412,-5.9478212,0.80820253, 9723.7909,0.12037594, 1.0284055
  350000, 591.14565, -3.353808,-5.1157223, 1.7619144,-5.9524735,0.83675118, 9780.7441,0.14345317, 1.0224171
  360000, 597.05521, -3.316476,-5.0960039, 1.7795279,-5.9193551,0.82335121, 9838.5292  0.048921162, 1.0164121
  370000, 600.53327,-3.3521014,-5.1419957, 1.7898943,-5.9707162,0.82872057, 9769.2563  0.061386502, 1.0236194
  380000, 599.85028,-3.3433359,-5.1311945, 1.7878586,-5.9510912,0.81989668, 9771.4573,0.14888567, 1.0233888
  390000, 589.89999,-3.3418812,-5.1000829, 1.7582017,-5.9452037,0.84512079, 9785.1499  0.060162555, 1.0219567
  400000, 585.44541,-3.3552537,-5.1001785, 1.7449248,-5.9426037,0.84242515, 9746.5976,0.12857324, 1.0259991
  410000, 594.99082,-3.3384968,-5.1118717, 1.7733749,-5.9436217,0.83174997, 9787.2993  0.066580236, 1.0217323
  420000, 593.88357, -3.369841,-5.1399158, 1.7700748,-5.9706823,0.83076656, 9684.9455,0.13531186, 1.0325303
  430000, 594.77612,-3.3740085,-5.1467435,  1.772735,-5.9740215,0.82727796, 9714.5515,0.12656715, 1.0293836
  440000, 599.52749, -3.317081,-5.1039775, 1.7868965,-5.9527079,0.84873036, 9732.6694,0.06276401, 1.0274674
  450000, 585.26289,-3.3461003,-5.0904811, 1.7443808, -5.936899,0.84641792, 9775.3412  0.058724433, 1.0229822
  460000, 595.22061,-3.3642257,-5.1382855, 1.7740598, -5.972374,0.83408852, 9746.4378,0.14012314, 1.0260159
  470000, 580.85784,-3.4160854,-5.1473369, 1.7312515,-5.9675886,0.82025172, 9708.8936,0.13874323, 1.0299835
  480000, 588.09415,-3.4233969,-5.1762163, 1.7528194,-6.0033081,0.82709186, 9728.7086  0.091120394, 1.0278857
  490000, 596.02801,-3.3729017, -5.149368, 1.7764663,-5.9814061,0.83203812, 9742.0296,0.11567868, 1.0264802
  500000,  581.4761,-3.4178738, -5.150968, 1.7330942,-5.9886211,0.83765306, 9765.0085,0.08769489, 1.0240647
  510000, 596.76465,-3.3371301, -5.115792, 1.7786619,-5.9570501,0.84125818, 9792.7062  0.079762953, 1.0211682
  520000, 594.39733,-3.3590699,-5.1306759,  1.771606,-5.9516888,0.82101294, 9757.2418,0.11536982, 1.0248798
  530000, 583.28316,-3.4165849, -5.155065, 1.7384802,-5.9702504,0.81518537, 9799.1842  0.043940782, 1.0204931
  540000, 591.20953,-3.3692774,-5.1313822, 1.7621048,-5.9724751,0.84109293, 9780.9342,0.12838224, 1.0223972
  550000, 594.52347,-3.3684988,-5.1404808,  1.771982, -5.966029,0.82554819,  9770.413,0.14843775, 1.0234982
  560000, 588.84732,-3.3669544,-5.1220185, 1.7550642,-5.9515527,0.82953413, 9811.6541, 0.0749119, 1.0191961
  570000,586.566,-3.3741763,-5.1224411, 1.7482647,-5.9487151,0.82627408, 9782.3812  0.079245052,  1.022246
  580000, 587.66519,-3.3925261,-5.1440669, 1.7515408,-5.9567841,0.81271721, 9747.0309  0.079881897, 1.0259535
  590000, 591.49156,-3.3690129,-5.1319583, 1.7629454, -5.960913,0.82895467, 9809.9539  0.018514552, 1.0193728
  600000, 592.08942,-3.3728139,-5.1375412, 1.7647273,-5.9702267,0.83268545, 9740.8279,0.16007492, 1.0266068
  610000, 582.68395,-3.4017055,-5.1383997, 1.7366942,-5.9840706,0.84567096, 9626.9967,0.14933981, 1.0387456
  620000, 594.07966,-3.3757429,-5.1464021, 1.7706592,-5.9762603,0.82985817, 9680.3205,0.20424072, 1.0330237
  630000, 587.24791,-3.3865717,-5.1368688, 1.7502971,-5.9817142,0.84484535, 9715.9184  0.076928518, 1.0292388
  640000,  592.9366, -3.395527,-5.1627793, 1.7672523,-5.9727239,0.80994458, 9784.5031  0.075169199, 1.0220243
  650000, 587.86622,-3.3783323,-5.1304723,1.75214,-5.9672512,0.83677893, 9815.6226,0.01457181, 1.0187841
  660000, 587.25613,-3.4206096,-5.1709313, 1.7503216,-5.9935493,0.82261799, 9776.6912  0.048109878, 1.0228409
  670000,  585.6539,-3.4101427,-5.1556889, 1.7455462,-5.9775252,0.82183635, 9738.1205,0.13794322, 1.0268922
